# Bopomofo
123-2356-5	310E-3128-311E-02CB
123-1246-3	310E-3128-311F-0020
123-1246-4	310E-3128-311F-02C7
123-1246-2	310E-3128-311F-02CA
123-1246-5	310E-3128-311F-02CB
123-12456-3	310E-3128-3122-0020
123-12456-4	310E-3128-3122-02C7
123-123456-3	310E-3128-3123-0020
123-123456-4	310E-3128-3123-02C7
123-123456-5	310E-3128-3123-02CB
123-456-3	310E-3128-3124-0020
123-456-4	310E-3128-3124-02C7
123-456-2	310E-3128-3124-02CA
123-456-5	310E-3128-3124-02CB
123-12346-3	310E-3128-3125-0020
123-12346-4	310E-3128-3125-02C7
123-12346-5	310E-3128-3125-02CB
1235-345-3	310F-311A-0020
1235-345-4	310F-311A-02C7
1235-345-2	310F-311A-02CA
1235-2346-3	310F-311C-0020
1235-2346-2	310F-311C-02CA
1235-2346-5	310F-311C-02CB
1235-2346-1	310F-311C-02D9
1235-2456-3	310F-311E-0020
1235-2456-4	310F-311E-02C7
1235-2456-2	310F-311E-02CA
1235-2456-5	310F-311E-02CB
1235-356-3	310F-311F-0020
1235-356-4	310F-311F-02C7
1235-356-5	310F-311F-02CB
1235-356-1	310F-311F-02D9
1235-146-3	310F-3120-0020
1235-146-4	310F-3120-02C7
1235-146-2	310F-3120-02CA
1235-146-5	310F-3120-02CB
1235-12356-3	310F-3121-0020
1235-12356-4	310F-3121-02C7
1235-12356-2	310F-3121-02CA
1235-12356-5	310F-3121-02CB
1235-1236-3	310F-3122-0020
1235-1236-4	310F-3122-02C7
1235-1236-2	310F-3122-02CA
1235-1236-5	310F-3122-02CB
1235-136-4	310F-3123-02C7
1235-136-2	310F-3123-02CA
1235-136-5	310F-3123-02CB
1235-1346-3	310F-3124-0020
1235-1346-4	310F-3124-02C7
1235-1346-2	310F-3124-02CA
1235-1346-5	310F-3124-02CB
1235-1356-3	310F-3125-0020
1235-1356-2	310F-3125-02CA
1235-1356-5	310F-3125-02CB
1235-34-3	310F-3128-0020
1235-34-4	310F-3128-02C7
1235-34-2	310F-3128-02CA
1235-34-5	310F-3128-02CB
1235-34-1	310F-3128-02D9
1235-35-3	310F-3128-311A-0020
1235-35-2	310F-3128-311A-02CA
1235-35-5	310F-3128-311A-02CB
1235-25-3	310F-3128-311B-0020
1235-25-4	310F-3128-311B-02C7
1235-25-2	310F-3128-311B-02CA
